2024-01-29 20:29:32 - INFO  - 67 https://www.amazon.com/Dove-Beauty-Bar-Shea-Butter/dp/B002TSA93Y/
2024-01-29 20:29:40 - INFO  - Ingredients section found...
2024-01-29 20:29:43 - INFO  - Ingredients added to excel file...
2024-01-29 20:29:43 - INFO  - 68 https://www.amazon.com/LOreal-Paris-Voluminous-Original-Building/dp/B004BCXAM8/
2024-01-29 20:29:50 - INFO  - Ingredients section found...
2024-01-29 20:29:53 - INFO  - Ingredients added to excel file...
2024-01-29 20:29:53 - INFO  - 69 https://www.amazon.com/Listerine-Antiseptic-Adult-Mouthwash-Fresh/dp/B005IHSKYS/
2024-01-29 20:30:01 - INFO  - Ingredients section found...
2024-01-29 20:30:04 - INFO  - Ingredients added to excel file...
2024-01-29 20:30:04 - INFO  - 70 https://www.amazon.com/Degree-Men-Protection-Antiperspirant-Deodorant/dp/B00TPRG5D0/
2024-01-29 20:30:12 - INFO  - Ingredients section found...
2024-01-29 20:30:16 - INFO  - Ingredients added to excel file...
2024-01-29 20:30:17 - INFO  - 71 https://www.amazon.com/Olay-Ultra-Rich-Moisture-Butter/dp/B0BHH1LBX2/
2024-01-29 20:30:24 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:30:24 - INFO  - 72 https://www.amazon.com/Bio-Oil-Skincare-Vitamin-Stretchmarks-Moisturizer/dp/B000VPPUEA/
2024-01-29 20:30:31 - INFO  - Ingredients section found...
2024-01-29 20:30:35 - INFO  - Ingredients added to excel file...
2024-01-29 20:30:35 - INFO  - 73 https://www.amazon.com/EltaMD-Moisturizer-Hyaluronic-Mineral-Based-Protection/dp/B00J5KDCO2/
2024-01-29 20:30:42 - INFO  - 74 https://www.amazon.com/Toms-Maine-Anticavity-Toothpaste-Strawberry/dp/B082VL6SH9/
2024-01-29 20:30:50 - INFO  - Ingredients section found...
2024-01-29 20:30:53 - INFO  - Ingredients added to excel file...
2024-01-29 20:30:53 - INFO  - 75 https://www.amazon.com/Mrs-Meyers-Liquid-Refill-Rainwater/dp/B07MFMWFYL/
2024-01-29 20:31:00 - INFO  - Ingredients section found...
2024-01-29 20:31:04 - INFO  - Ingredients added to excel file...
2024-01-29 20:31:04 - INFO  - 76 https://www.amazon.com/Amazon-Basics-Dermaplane-Razor/dp/B08WQB1CDG/
2024-01-29 20:31:11 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:31:11 - INFO  - 77 https://www.amazon.com/CETAPHIL-Cleanser-Sensitive-Combination-Hypoallergenic/dp/B099MSZX25/
2024-01-29 20:31:20 - INFO  - Ingredients section found...
2024-01-29 20:31:24 - INFO  - Ingredients added to excel file...
